# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:43 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAQ2_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.63 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.330000          8.30169619e-05      6.73666318e-04      3.61685476e-04      8.21611676e-08     -9.52895365e-04     -4.60815024e-06      5.08652207e-06
0.335000          8.98232459e-05      6.93127247e-04      3.54457495e-04      7.51220800e-08     -9.57957378e-04     -4.72239963e-06      4.84315944e-06
0.340000          9.67512168e-05      7.21875103e-04      3.53805753e-04      7.07114760e-08     -9.78690024e-04     -5.16509735e-06      4.85477057e-06
0.345000          1.03663546e-04      7.57154755e-04      3.58092057e-04      6.88364830e-08     -1.01085132e-03     -5.88334907e-06      5.08256135e-06
0.350000          1.10458034e-04      7.96886174e-04      3.66080531e-04      6.92683789e-08     -1.05124131e-03     -6.82529863e-06      5.48866724e-06
0.355000          1.17061062e-04      8.39538580e-04      3.76862607e-04      7.16679176e-08     -1.09750784e-03     -7.93993448e-06      6.03598006e-06
0.360000          1.23399844e-04      8.83597136e-04      3.89539222e-04      7.56926446e-08     -1.14732335e-03     -9.17626958e-06      6.68741356e-06
0.365000          1.29401589e-04      9.27547009e-04      4.03211313e-04      8.10001049e-08     -1.19836030e-03     -1.04833169e-05      7.40588148e-06
0.370000          1.34993808e-04      9.69878702e-04      4.16982881e-04      8.72479197e-08     -1.24829920e-03     -1.18102082e-05      8.15438515e-06
0.375000          1.40124428e-04      1.00944772e-03      4.30167317e-04      9.40988827e-08     -1.29537242e-03     -1.31141929e-05      8.90190883e-06
0.380000          1.44774543e-04      1.04570252e-03      4.42418181e-04      1.01224191e-07     -1.33870884e-03     -1.43657079e-05      9.62715646e-06
0.385000          1.48928284e-04      1.07814590e-03      4.53420197e-04      1.08295813e-07     -1.37751943e-03     -1.55363982e-05      1.03097225e-05
0.390000          1.52569785e-04      1.10628063e-03      4.62858091e-04      1.14985714e-07     -1.41101521e-03     -1.65979089e-05      1.09292013e-05
0.395000          1.55683179e-04      1.12960951e-03      4.70416595e-04      1.20965870e-07     -1.43840720e-03     -1.75218858e-05      1.14651878e-05
0.400000          1.58259855e-04      1.14776060e-03      4.75850068e-04      1.25955050e-07     -1.45909255e-03     -1.82852583e-05      1.19010330e-05
0.405000          1.60316001e-04      1.16078998e-03      4.79150798e-04      1.29831957e-07     -1.47310452e-03     -1.88830116e-05      1.22329243e-05
0.410000          1.61873097e-04      1.16884506e-03      4.80361853e-04      1.32509424e-07     -1.48061213e-03     -1.93139846e-05      1.24597883e-05
0.415000          1.62952622e-04      1.17207328e-03      4.79526305e-04      1.33900285e-07     -1.48178440e-03     -1.95770164e-05      1.25805520e-05
0.420000          1.63576056e-04      1.17062206e-03      4.76687222e-04      1.33917375e-07     -1.47679034e-03     -1.96709458e-05      1.25941421e-05
0.425000          1.63766022e-04      1.16465876e-03      4.71898534e-04      1.32492252e-07     -1.46582822e-03     -1.95959233e-05      1.25003832e-05
0.430000          1.63553872e-04      1.15450302e-03      4.65297197e-04      1.29699644e-07     -1.44931988e-03     -1.93621269e-05      1.23059626e-05
0.435000          1.62974988e-04      1.14054481e-03      4.57058495e-04      1.25680360e-07     -1.42779037e-03     -1.89843631e-05      1.20207353e-05
0.440000          1.62064774e-04      1.12317447e-03      4.47357913e-04      1.20575568e-07     -1.40176529e-03     -1.84774633e-05      1.16545737e-05
0.445000          1.60858636e-04      1.10278233e-03      4.36370942e-04      1.14526434e-07     -1.37177026e-03     -1.78562590e-05      1.12173500e-05
