# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:02 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAH2_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.62 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.365000          1.10689414e-04      9.06337044e-04      4.26997079e-04      6.56264402e-08     -1.21932042e-03     -1.13547853e-05      7.96487340e-06
0.370000          1.12214476e-04      8.85942689e-04      4.08451984e-04      6.26805237e-08     -1.17874021e-03     -1.11403681e-05      7.63769690e-06
0.375000          1.13924737e-04      8.70390577e-04      3.92842794e-04      6.13325410e-08     -1.14571453e-03     -1.10863879e-05      7.43095098e-06
0.380000          1.15746260e-04      8.58832538e-04      3.79771903e-04      6.13953024e-08     -1.11908118e-03     -1.11657861e-05      7.32738931e-06
0.385000          1.17605182e-04      8.50396138e-04      3.68826580e-04      6.26339008e-08     -1.09763937e-03     -1.13481258e-05      7.30732463e-06
0.390000          1.19427640e-04      8.44208941e-04      3.59594092e-04      6.48134289e-08     -1.08018831e-03     -1.16029700e-05      7.35106966e-06
0.395000          1.21142382e-04      8.39421174e-04      3.51670800e-04      6.76941752e-08     -1.06555617e-03     -1.19001507e-05      7.43903798e-06
0.400000          1.22701708e-04      8.35387596e-04      3.44735129e-04      7.09930621e-08     -1.05283264e-03     -1.22119283e-05      7.55255336e-06
0.405000          1.24070411e-04      8.31571465e-04      3.38509041e-04      7.44040079e-08     -1.04124607e-03     -1.25118515e-05      7.67342242e-06
0.410000          1.25213399e-04      8.27437036e-04      3.32714894e-04      7.76207197e-08     -1.03002613e-03     -1.27734806e-05      7.78345619e-06
0.415000          1.26096031e-04      8.22453423e-04      3.27077178e-04      8.03392282e-08     -1.01840892e-03     -1.29705979e-05      7.86460772e-06
0.420000          1.26702149e-04      8.16288770e-04      3.21407535e-04      8.23507189e-08     -1.00589508e-03     -1.30860703e-05      7.90464408e-06
0.425000          1.27040155e-04      8.08875754e-04      3.15633448e-04      8.35728492e-08     -9.92336840e-04     -1.31148395e-05      7.89905995e-06
0.430000          1.27120154e-04      8.00165346e-04      3.09690408e-04      8.39320232e-08     -9.77610734e-04     -1.30526822e-05      7.84388444e-06
0.435000          1.26952248e-04      7.90108521e-04      3.03513911e-04      8.33546479e-08     -9.61593310e-04     -1.28953753e-05      7.73514681e-06
0.440000          1.26550604e-04      7.78706090e-04      2.97062475e-04      8.18088232e-08     -9.44228911e-04     -1.26417979e-05      7.57093982e-06
0.445000          1.25943663e-04      7.66133872e-04      2.90375477e-04      7.94090660e-08     -9.25699975e-04     -1.23017230e-05      7.35660281e-06
0.450000          1.25162994e-04      7.52606086e-04      2.83510032e-04      7.63020162e-08     -9.06241177e-04     -1.18873138e-05      7.09906500e-06
0.455000          1.24240171e-04      7.38336949e-04      2.76523256e-04      7.26343140e-08     -8.86087190e-04     -1.14107333e-05      6.80525561e-06
0.460000          1.23207451e-04      7.23547238e-04      2.69475121e-04      6.85573794e-08     -8.65481314e-04     -1.08845062e-05      6.48235550e-06
0.465000          1.22104308e-04      7.08526492e-04      2.62455547e-04      6.42727366e-08     -8.44757239e-04     -1.03249468e-05      6.14018321e-06
0.470000          1.20974521e-04      6.93605295e-04      2.55572327e-04      6.00118172e-08     -8.24302613e-04     -9.75063092e-06      5.79013172e-06
0.475000          1.19861926e-04      6.79114780e-04      2.48933494e-04      5.60064531e-08     -8.04505804e-04     -9.18016505e-06      5.44361506e-06
0.480000          1.18809908e-04      6.65382180e-04      2.42645643e-04      5.24858200e-08     -7.85750362e-04     -8.63196922e-06      5.11193112e-06
0.485000          1.17837359e-04      6.52523424e-04      2.36737347e-04      4.95351741e-08     -7.68158661e-04     -8.11436901e-06      4.80008279e-06
0.490000          1.16926646e-04      6.40339330e-04      2.31120837e-04      4.70251496e-08     -7.51463596e-04     -7.62063653e-06      4.50368551e-06
0.495000          1.16057157e-04      6.28605011e-04      2.25698850e-04      4.48088727e-08     -7.35366286e-04     -7.14281586e-06      4.21758893e-06
0.500000          1.15208280e-04      6.17095579e-04      2.20374125e-04      4.27394696e-08     -7.19567856e-04     -6.67295110e-06      3.93664271e-06
