 05-Oct-2006       (vang_036.da - 1.000 *Avrag00.dat) /  2.3000               
vang_036.dat  Conc = .23E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
 Avrag00.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
  0.717884E+00  0.374100E+02  0.331003E+00
  0.720161E+00  0.370543E+02  0.329429E+00
  0.722437E+00  0.368461E+02  0.329861E+00
  0.724714E+00  0.364596E+02  0.328712E+00
  0.726990E+00  0.355230E+02  0.328908E+00
  0.729267E+00  0.354865E+02  0.323451E+00
  0.731544E+00  0.355474E+02  0.324498E+00
  0.733820E+00  0.359330E+02  0.326348E+00
  0.736097E+00  0.353683E+02  0.321555E+00
  0.738373E+00  0.348991E+02  0.325498E+00
  0.740650E+00  0.349257E+02  0.317672E+00
  0.742926E+00  0.346117E+02  0.322603E+00
  0.745203E+00  0.337943E+02  0.319762E+00
  0.747480E+00  0.338635E+02  0.319408E+00
  0.749756E+00  0.331939E+02  0.317276E+00
  0.752033E+00  0.331830E+02  0.316364E+00
  0.754309E+00  0.326661E+02  0.316973E+00
  0.756586E+00  0.331348E+02  0.315454E+00
  0.758863E+00  0.330200E+02  0.312768E+00
  0.761139E+00  0.320461E+02  0.314529E+00
  0.763416E+00  0.322257E+02  0.312089E+00
  0.765692E+00  0.313335E+02  0.313298E+00
  0.767969E+00  0.316622E+02  0.308456E+00
  0.770245E+00  0.311930E+02  0.310408E+00
  0.772522E+00  0.309661E+02  0.309349E+00
  0.774799E+00  0.307874E+02  0.307011E+00
  0.777075E+00  0.308783E+02  0.309734E+00
  0.779352E+00  0.303696E+02  0.303786E+00
  0.781628E+00  0.303835E+02  0.308034E+00
  0.783905E+00  0.302057E+02  0.303300E+00
  0.786182E+00  0.295061E+02  0.303574E+00
  0.788458E+00  0.292826E+02  0.303917E+00
  0.790735E+00  0.287600E+02  0.300877E+00
  0.793011E+00  0.287674E+02  0.304244E+00
  0.795288E+00  0.288996E+02  0.298877E+00
