# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:21 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAJ6_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.62 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.365000          1.06264267e-04      1.08964051e-03      5.44751577e-04      2.44173912e-07     -1.52154561e-03     -2.26808886e-05      1.58545034e-05
0.370000          1.06405358e-04      1.07175869e-03      5.30744405e-04      2.48273834e-07     -1.48926461e-03     -2.31774951e-05      1.60960953e-05
0.375000          1.07245375e-04      1.06258770e-03      5.20962426e-04      2.55630048e-07     -1.46917568e-03     -2.38527496e-05      1.64680423e-05
0.380000          1.08729667e-04      1.06212591e-03      5.15758495e-04      2.62236556e-07     -1.46175534e-03     -2.44952310e-05      1.68335962e-05
0.385000          1.10711476e-04      1.06858101e-03      5.14422500e-04      2.65108102e-07     -1.46469911e-03     -2.49306361e-05      1.70726047e-05
0.390000          1.12979513e-04      1.07880976e-03      5.15403041e-04      2.62629809e-07     -1.47354999e-03     -2.50420235e-05      1.70960902e-05
0.395000          1.15326110e-04      1.08947875e-03      5.16883590e-04      2.55922297e-07     -1.48334563e-03     -2.48506922e-05      1.69041660e-05
0.400000          1.17553362e-04      1.09738982e-03      5.17050801e-04      2.47429095e-07     -1.48923028e-03     -2.44516364e-05      1.65472300e-05
0.405000          1.19488275e-04      1.10003287e-03      5.14464331e-04      2.40045232e-07     -1.48737787e-03     -2.39855479e-05      1.61144496e-05
0.410000          1.20970803e-04      1.09537985e-03      5.08012364e-04      2.35652005e-07     -1.47478002e-03     -2.35526588e-05      1.56756171e-05
0.415000          1.21856279e-04      1.08201063e-03      4.97029648e-04      2.34172305e-07     -1.44950541e-03     -2.31636899e-05      1.52509253e-05
0.420000          1.22045312e-04      1.05923184e-03      4.81300917e-04      2.34127104e-07     -1.41078317e-03     -2.27482843e-05      1.48098808e-05
0.425000          1.21492924e-04      1.02712562e-03      4.61057450e-04      2.33053123e-07     -1.35903047e-03     -2.21757656e-05      1.42830337e-05
0.430000          1.20271399e-04      9.87149411e-04      4.37171591e-04      2.29224283e-07     -1.29654683e-03     -2.13479149e-05      1.36159198e-05
